Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Sat Mar 23 00:08:27 2024
| Host         : audacity running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : xcvu095ffva2104-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                                                       Instance                                                       |                                 Module                                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_381 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_382 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_383 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_384 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_385 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_386 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_373 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_379 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_380 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_374 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_375 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_376 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_377 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_378 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[1].phy_rxeq_i                                                                                     |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_7 |         17 |         17 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[1].phy_rxeq_i)                                                                                 |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_7 |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_346 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_370 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_371 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[1].phy_txeq_i                                                                                     |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_8 |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[1].phy_txeq_i)                                                                                 |                       pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_8 |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1_331 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_340 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_341 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
